optimal,hybrid,3,3,77,77,66,45,44,37,57,41,25,46,39,44,57,43,42,32,55,60,63,57,41,46,40,43,53,49,44,41,81,38,47,50,48,39,32,34,29,21,31,35,46,39,42,35,30,39,36,36,34,35
optimal,hybrid,3,4,33,43,40,47,38,43,35,40,38,49,60,50,47,46,57,42,42,73,44,24,33,44,40,34,42,23,50,31,41,47,30,56,60,32,48,28,45,60,65,43,56,33,29,37,33,74,34,26,32,39
optimal,hybrid,3,5,50,80,68,80,51,45,60,35,37,48,24,49,42,38,64,40,30,40,47,45,53,60,39,46,43,29,30,46,32,49,52,36,74,42,36,28,38,33,44,45,29,43,57,86,41,63,34,48,41,32

heuristic,hybrid_if,4,1,46,10,5,6,6,6,6,6,6,6,7,11,6,7,5,5,8,6,7,6,5,7,6,5,6,5,5,6,6,6,5,7,6,8,5,8,7,6,4,7,5,5,6,6,7,7,7,7,6,9
heuristic,hybrid_if,4,2,12,19,7,7,5,8,6,4,5,5,6,5,5,7,5,4,6,5,6,5,4,5,5,6,5,6,6,8,7,9,5,5,5,7,6,5,7,5,4,5,5,6,6,6,5,5,6,6,9,6
heuristic,hybrid_if,4,3,9,3,6,6,6,6,5,7,6,5,5,7,8,6,6,6,4,8,7,7,6,6,7,6,5,7,5,7,6,5,8,6,6,3,6,7,5,4,6,5,6,8,6,6,4,6,5,7,9,6
heuristic,hybrid_if,4,4,7,7,9,5,7,5,7,6,6,8,4,5,7,7,4,4,19,5,4,7,7,8,6,7,4,5,6,9,6,6,5,7,6,6,5,5,4,6,6,6,5,9,6,5,5,6,6,5,6,6
heuristic,hybrid_if,4,5,9,5,7,5,8,6,5,6,5,7,5,5,5,6,4,5,4,6,7,7,7,6,6,6,5,5,7,4,5,7,12,8,6,5,8,5,4,7,7,6,9,7,7,5,5,6,6,6,5,8

heuristic,hybrid,5,1,64,82,37,56,40,46,47,41,46,51,40,37,35,60,18,55,40,38,29,38,51,33,45,32,37,26,54,43,45,49,53,48,56,29,63,31,44,47,38,46,38,35,44,32,36,43,39,42,41,37
heuristic,hybrid,5,2,56,91,26,27,43,29,45,31,52,25,49,53,34,43,39,53,42,28,45,53,43,32,33,26,33,35,41,51,41,28,48,45,50,55,50,48,42,34,41,42,44,34,45,34,75,59,34,33,47,72
heuristic,hybrid,5,3,103,92,87,42,41,35,44,46,36,45,41,52,43,40,38,34,36,39,41,40,55,35,40,37,43,38,47,33,38,89,38,48,36,46,31,41,34,30,46,40,33,34,38,36,28,34,33,31,35,16
heuristic,hybrid,5,4,27,46,36,40,41,47,42,31,43,34,40,58,35,53,42,40,48,30,40,39,47,31,44,53,61,54,43,48,41,35,49,37,41,40,40,40,54,51,37,45,38,50,31,33,37,37,39,45,70,67
heuristic,hybrid,5,5,69,81,58,76,47,42,38,54,47,36,50,52,47,37,47,51,37,39,44,42,48,51,48,51,49,53,43,41,41,38,69,31,41,38,35,38,38,35,38,46,47,51,33,46,26,64,37,41,86,40
